image_name,lat,lon,date,spectrum
33.2256_-107.761_20220519_RGB.png,33.2256,-107.761,2022-05-19,RGB
33.1808_-107.8809_20220519_Infrared.png,33.1808,-107.8809,2022-05-19,Infrared
33.1771_-107.8428_20220519_Infrared.png,33.1771,-107.8428,2022-05-19,Infrared
33.1833_-107.8748_20220519_RGB.png,33.1833,-107.8748,2022-05-19,RGB
33.3265_-107.8446_20220519_RGB.png,33.3265,-107.8446,2022-05-19,RGB
33.1691_-107.8431_20220519_RGB.png,33.1691,-107.8431,2022-05-19,RGB
33.1874_-107.9133_20220519_Infrared.png,33.1874,-107.9133,2022-05-19,Infrared
33.2952_-107.9281_20220519_Infrared.png,33.2952,-107.9281,2022-05-19,Infrared
33.3173_-107.9725_20220519_Infrared.png,33.3173,-107.9725,2022-05-19,Infrared
33.3266_-108.0407_20220519_Infrared.png,33.3266,-108.0407,2022-05-19,Infrared
33.797_-107.5444_20220519_Infrared.png,33.797,-107.5444,2022-05-19,Infrared
34.9199_-118.8473_20220520_RGB.png,34.9199,-118.8473,2022-05-20,RGB
33.194_-107.9973_20220520_Infrared.png,33.194,-107.9973,2022-05-20,Infrared
33.1923_-107.9865_20220520_Infrared.png,33.1923,-107.9865,2022-05-20,Infrared
33.331_-107.8602_20220521_RGB.png,33.331,-107.8602,2022-05-21,RGB
33.331_-107.8602_20220521_Infrared.png,33.331,-107.8602,2022-05-21,Infrared
33.1736_-107.9026_20220521_RGB.png,33.1736,-107.9026,2022-05-21,RGB
33.3273_-107.8793_20220521_RGB.png,33.3273,-107.8793,2022-05-21,RGB
33.1672_-107.9592_20220521_Infrared.png,33.1672,-107.9592,2022-05-21,Infrared
33.1764_-107.9611_20220521_Infrared.png,33.1764,-107.9611,2022-05-21,Infrared
33.3291_-107.9266_20220521_RGB.png,33.3291,-107.9266,2022-05-21,RGB
33.1617_-107.8751_20220521_RGB.png,33.1617,-107.8751,2022-05-21,RGB
